SourceID,TargetID
TMEM176B,TMEM176A
DDX3Y,KDM5D
ZFY,KDM5D
PRKY,KDM5D
USP9Y,KDM5D
RPS4Y1,KDM5D
TXLNGY,KDM5D
TMSB4Y,KDM5D
TTTY14,KDM5D
UTY,KDM5D
MAP7D2,KDM5D
EIF1AY,KDM5D
BCORP1,KDM5D
TTTY10,KDM5D
XIST,KDM5D
LINC00278,KDM5D
ZFY-AS1,KDM5D
TTTY15,KDM5D
ANOS2P,KDM5D
TSIX,KDM5D
NAT8,CLDN18
AC026461.3,CLDN18
ZFY,DDX3Y
PRKY,DDX3Y
USP9Y,DDX3Y
RPS4Y1,DDX3Y
TXLNGY,DDX3Y
TMSB4Y,DDX3Y
TTTY14,DDX3Y
UTY,DDX3Y
MAP7D2,DDX3Y
EIF1AY,DDX3Y
BCORP1,DDX3Y
TTTY10,DDX3Y
XIST,DDX3Y
LINC00278,DDX3Y
ZFY-AS1,DDX3Y
TTTY15,DDX3Y
ANOS2P,DDX3Y
TSIX,DDX3Y
PRKY,ZFY
USP9Y,ZFY
RPS4Y1,ZFY
TXLNGY,ZFY
TMSB4Y,ZFY
TTTY14,ZFY
UTY,ZFY
MAP7D2,ZFY
EIF1AY,ZFY
BCORP1,ZFY
TTTY10,ZFY
XIST,ZFY
LINC00278,ZFY
ZFY-AS1,ZFY
TTTY15,ZFY
ANOS2P,ZFY
TSIX,ZFY
CTXN2,SLC12A1
AC066612.1,SLC12A1
USP9Y,PRKY
RPS4Y1,PRKY
TXLNGY,PRKY
TMSB4Y,PRKY
TTTY14,PRKY
UTY,PRKY
MAP7D2,PRKY
EIF1AY,PRKY
BCORP1,PRKY
TTTY10,PRKY
XIST,PRKY
LINC00278,PRKY
ZFY-AS1,PRKY
TTTY15,PRKY
ANOS2P,PRKY
TSIX,PRKY
ALOX15,SIGLEC8
AP001000.1,MTPN
CCL8,PKD2L1
TENT5A,CCL8
IFIT1,CCL8
AC026461.3,CCL8
ARL2-SNX15,SNX15
RPS4Y1,USP9Y
TXLNGY,USP9Y
TMSB4Y,USP9Y
TTTY14,USP9Y
UTY,USP9Y
MAP7D2,USP9Y
EIF1AY,USP9Y
BCORP1,USP9Y
TTTY10,USP9Y
XIST,USP9Y
LINC00278,USP9Y
ZFY-AS1,USP9Y
TTTY15,USP9Y
ANOS2P,USP9Y
TSIX,USP9Y
TXLNGY,RPS4Y1
TMSB4Y,RPS4Y1
TTTY14,RPS4Y1
UTY,RPS4Y1
MAP7D2,RPS4Y1
EIF1AY,RPS4Y1
BCORP1,RPS4Y1
TTTY10,RPS4Y1
XIST,RPS4Y1
LINC00278,RPS4Y1
ZFY-AS1,RPS4Y1
TTTY15,RPS4Y1
ANOS2P,RPS4Y1
TSIX,RPS4Y1
TMSB4Y,TXLNGY
TTTY14,TXLNGY
UTY,TXLNGY
MAP7D2,TXLNGY
EIF1AY,TXLNGY
BCORP1,TXLNGY
TTTY10,TXLNGY
XIST,TXLNGY
LINC00278,TXLNGY
ZFY-AS1,TXLNGY
TTTY15,TXLNGY
ANOS2P,TXLNGY
TSIX,TXLNGY
AC068775.1,RBM38
RNU2-2P,WDR74
CCR1,TLR2
RPL7AP66,TLR2
CCR1,RPL14P1
COX8A,RPL14P1
NOTCH2NL,RPL14P1
AC009690.1,CELF6
SAMD9,NAT8
STIMATE-MUSTN1,JAZF1
TTTY14,TMSB4Y
UTY,TMSB4Y
MAP7D2,TMSB4Y
EIF1AY,TMSB4Y
BCORP1,TMSB4Y
TTTY10,TMSB4Y
XIST,TMSB4Y
LINC00278,TMSB4Y
ZFY-AS1,TMSB4Y
TTTY15,TMSB4Y
ANOS2P,TMSB4Y
TSIX,TMSB4Y
AC114786.1,ALOX15
AC025279.1,NEU3
COX8A,TRIM58
PA2G4P4,TRIM58
COX8A,CCR1
UTY,TTTY14
EIF1AY,TTTY14
BCORP1,TTTY14
TTTY10,TTTY14
XIST,TTTY14
LINC00278,TTTY14
ZFY-AS1,TTTY14
TTTY15,TTTY14
ANOS2P,TTTY14
TSIX,TTTY14
AL136295.2,RPL10P16
HLA-DQB1-AS1,HLA-DQB1
AC007036.3,MTURN
AL592114.1,P2RY8
AL136295.2,P2RY8
RP11-65I12.1,RPSAP19
MAP7D2,UTY
EIF1AY,UTY
BCORP1,UTY
TTTY10,UTY
XIST,UTY
LINC00278,UTY
ZFY-AS1,UTY
TTTY15,UTY
ANOS2P,UTY
TSIX,UTY
AC090527.3,OLIG1
BCORP1,MAP7D2
TTTY10,MAP7D2
XIST,MAP7D2
LINC00278,MAP7D2
ZFY-AS1,MAP7D2
TTTY15,MAP7D2
ANOS2P,MAP7D2
TSIX,MAP7D2
ZNF134,MAGEH1
IGKV1D-39,BLOC1S3
AL606834.2,BLOC1S3
BCORP1,EIF1AY
TTTY10,EIF1AY
XIST,EIF1AY
LINC00278,EIF1AY
ZFY-AS1,EIF1AY
TTTY15,EIF1AY
ANOS2P,EIF1AY
TSIX,EIF1AY
LINC01293,LINC01291
RP11-706O15.5,RP11-706O15.7
SMIM3,AL359878.1
RNU1-27P,RNU1-28P
RNU1-3,RNU1-4
IGHG1,IGKV4-1
IGHG1,IGLV3-21
IGLL5,IGHG1
IGHV3-30,IGHV3-33
TTC3P1,SUGT1P2
TTTY10,BCORP1
XIST,BCORP1
LINC00278,BCORP1
ZFY-AS1,BCORP1
TTTY15,BCORP1
ANOS2P,BCORP1
TSIX,BCORP1
Z97832.2,DENND10P1
CTAGE8,CTAGE4
XIST,TTTY10
LINC00278,TTTY10
ZFY-AS1,TTTY10
TTTY15,TTTY10
ANOS2P,TTTY10
TSIX,TTTY10
LINC00278,XIST
ZFY-AS1,XIST
TTTY15,XIST
ANOS2P,XIST
TSIX,XIST
SCAMP1-AS1,YWHAZP3
ZFY-AS1,LINC00278
TTTY15,LINC00278
ANOS2P,LINC00278
TSIX,LINC00278
ATXN7L3B,PA2G4P6
TTTY15,ZFY-AS1
ANOS2P,ZFY-AS1
TSIX,ZFY-AS1
ANOS2P,TTTY15
TSIX,TTTY15
AC066612.1,CTXN2
RPSAP15,RPSAP9
AC092718.4,UPF3AP3
PI4K2B,NUS1P1
TVP23C-CDRT4,CDRT4
IGKV1-33,IGKV1D-33
TSIX,ANOS2P
ERCC6-PGBD3,PGBD3
AC008758.4,AC008758.3
AC124319.3,IGLL5
DNAAF4-CCPG1,DNAAF4
AP004609.5,AC055720.2
AC020978.8,AC020978.6
RMRP,RMRP
SRXN1,AL121758.1
AC090498.1,URGCP-MRPS24
RN7SL1,RN7SL1
